iter	Passed	Remaining
0	66	66856
1	131	65373
2	196	65410
3	259	64537
4	320	63754
5	393	65205
6	462	65586
7	526	65324
8	594	65469
9	659	65335
10	726	65327
11	801	65962
12	882	66965
13	960	67634
14	1041	68403
15	1119	68863
16	1196	69196
17	1268	69192
18	1352	69822
19	1437	70420
20	1500	69972
21	1569	69759
22	1641	69733
23	1708	69466
24	1783	69560
25	1859	69648
26	1934	69721
27	2013	69911
28	2098	70248
29	2188	70745
30	2273	71059
31	2431	73541
32	2519	73833
33	2594	73708
34	2663	73434
35	2732	73163
36	2802	72942
37	2887	73109
38	2974	73283
39	3061	73470
40	3150	73680
41	3217	73394
42	3293	73308
43	3367	73172
44	3435	72914
45	3517	72949
46	3599	72984
47	3672	72833
48	3745	72690
49	3812	72446
50	3879	72187
51	3951	72041
52	4020	71834
53	4103	71891
54	4191	72017
55	4263	71870
56	4340	71802
57	4414	71702
58	4480	71458
59	4547	71236
60	4616	71066
61	4682	70837
62	4758	70766
63	4827	70605
64	4901	70499
65	4980	70488
66	5045	70255
67	5108	70023
68	5176	69849
69	5240	69626
70	5309	69468
71	5388	69447
72	5456	69295
73	5533	69248
74	5605	69135
75	5676	69014
76	5747	68891
77	5821	68813
78	5899	68780
79	6004	69048
80	6101	69222
81	6182	69213
82	6251	69069
83	6315	68872
84	6388	68772
85	6457	68624
86	6526	68490
87	6597	68377
88	6668	68255
89	6739	68143
90	6800	67934
91	6873	67841
92	6934	67632
93	7010	67568
94	7082	67472
95	7163	67454
96	7238	67386
97	7325	67422
98	7465	67943
99	7558	68027
100	7652	68111
101	7753	68261
102	7843	68303
103	7921	68250
104	7986	68075
105	8051	67908
106	8115	67731
107	8185	67606
108	8247	67417
109	8321	67327
110	8396	67251
111	8473	67181
112	8544	67069
113	8625	67033
114	8722	67122
115	8804	67094
116	8883	67041
117	8965	67013
118	9060	67079
119	9141	67034
120	9209	66898
121	9279	66783
122	9349	66663
123	9419	66545
124	9488	66420
125	9557	66297
126	9623	66150
127	9692	66029
128	9768	65959
129	9857	65969
130	9940	65942
131	10015	65857
132	10089	65769
133	10163	65682
134	10243	65635
135	10333	65647
136	10415	65608
137	10491	65533
138	10574	65500
139	10653	65440
140	10732	65382
141	10816	65358
142	10934	65528
143	11000	65391
144	11097	65438
145	11194	65479
146	11285	65489
147	11357	65383
148	11422	65241
149	11510	65228
150	11604	65246
151	11687	65203
152	11765	65131
153	11845	65073
154	11930	65041
155	12007	64965
156	12079	64860
157	12149	64747
158	12215	64613
159	12272	64431
160	12345	64333
161	12420	64247
162	12487	64120
163	12557	64010
164	12619	63862
165	12676	63687
166	12739	63546
167	12805	63417
168	12872	63296
169	12938	63172
170	13002	63033
171	13067	62907
172	13131	62772
173	13192	62624
174	13250	62468
175	13316	62343
176	13378	62206
177	13440	62065
178	13506	61948
179	13580	61865
180	13651	61771
181	13718	61657
182	13794	61583
183	13862	61477
184	13924	61341
185	13981	61188
186	14043	61055
187	14103	60914
188	14156	60746
189	14218	60616
190	14275	60466
191	14339	60344
192	14394	60189
193	14454	60053
194	14511	59906
195	14566	59751
196	14624	59612
197	14682	59470
198	14743	59343
199	14806	59226
200	14878	59144
201	14946	59047
202	15015	58953
203	15082	58849
204	15147	58743
205	15228	58696
206	15307	58642
207	15381	58566
208	15459	58507
209	15537	58448
210	15614	58386
211	15687	58311
212	15757	58221
213	15822	58115
214	15886	58005
215	15958	57922
216	16028	57836
217	16112	57796
218	16201	57777
219	16281	57726
220	16360	57667
221	16426	57566
222	16492	57464
223	16557	57361
224	16620	57249
225	16690	57162
226	16755	57057
227	16822	56960
228	16889	56864
229	16954	56760
230	17021	56663
231	17086	56562
232	17157	56479
233	17226	56391
234	17295	56301
235	17364	56214
236	17432	56120
237	17503	56039
238	17575	55962
239	17644	55872
240	17701	55749
241	17763	55639
242	17824	55528
243	17885	55415
244	17949	55315
245	18009	55199
246	18068	55082
247	18129	54972
248	18190	54864
249	18246	54739
250	18303	54617
251	18361	54501
252	18424	54400
253	18486	54294
254	18547	54188
255	18610	54087
256	18680	54006
257	18755	53940
258	18825	53859
259	18902	53800
260	19017	53845
261	19099	53798
262	19192	53783
263	19275	53737
264	19369	53723
265	19468	53721
266	19557	53691
267	19651	53674
268	19743	53652
269	19818	53584
270	19893	53514
271	19995	53517
272	20083	53482
273	20169	53440
274	20236	53350
275	20320	53303
276	20409	53272
277	20489	53214
278	20561	53136
279	20635	53063
280	20707	52984
281	20784	52920
282	20870	52877
283	20951	52820
284	21030	52760
285	21112	52707
286	21199	52666
287	21299	52657
288	21401	52652
289	21495	52627
290	21583	52586
291	21665	52532
292	21741	52460
293	21817	52390
294	21894	52324
295	21980	52277
296	22067	52234
297	22156	52194
298	22241	52144
299	22327	52098
300	22409	52041
301	22493	51987
302	22591	51968
303	22701	51974
304	22818	51997
305	22896	51928
306	22984	51884
307	23061	51814
308	23139	51745
309	23225	51695
310	23306	51634
311	23392	51583
312	23470	51514
313	23554	51460
314	23627	51381
315	23698	51297
316	23782	51240
317	23873	51200
318	23963	51157
319	24049	51104
320	24125	51030
321	24195	50946
322	24276	50883
323	24349	50803
324	24417	50714
325	24490	50633
326	24561	50550
327	24631	50464
328	24705	50387
329	24779	50309
330	24862	50250
331	24933	50167
332	25008	50092
333	25093	50037
334	25195	50015
335	25289	49977
336	25355	49883
337	25415	49778
338	25484	49690
339	25556	49609
340	25629	49530
341	25699	49444
342	25763	49349
343	25833	49264
344	25904	49180
345	25967	49082
346	26033	48991
347	26097	48894
348	26168	48813
349	26235	48722
350	26298	48625
351	26354	48515
352	26429	48440
353	26501	48360
354	26583	48298
355	26644	48199
356	26711	48110
357	26780	48025
358	26838	47920
359	26895	47814
360	26956	47714
361	27024	47628
362	27088	47536
363	27153	47444
364	27217	47350
365	27286	47265
366	27351	47174
367	27416	47085
368	27490	47009
369	27556	46919
370	27633	46850
371	27713	46785
372	27796	46725
373	27868	46645
374	27936	46561
375	27999	46467
376	28066	46381
377	28132	46291
378	28195	46198
379	28264	46116
380	28335	46036
381	28393	45934
382	28457	45844
383	28522	45754
384	28592	45673
385	28663	45594
386	28732	45511
387	28798	45424
388	28868	45342
389	28947	45276
390	29022	45203
391	29097	45131
392	29169	45053
393	29240	44974
394	29309	44891
395	29374	44803
396	29442	44719
397	29507	44631
398	29577	44552
399	29654	44481
400	29712	44382
401	29777	44296
402	29842	44208
403	29907	44121
404	29976	44039
405	30046	43960
406	30116	43879
407	30238	43875
408	30340	43841
409	30418	43772
410	30491	43697
411	30572	43633
412	30650	43563
413	30718	43480
414	30791	43404
415	30890	43365
416	30975	43305
417	31061	43248
418	31144	43186
419	31224	43120
420	31333	43092
421	31632	43326
422	31744	43301
423	31842	43257
424	32034	43340
425	32168	43344
426	32276	43312
427	32384	43280
428	32478	43229
429	32565	43168
430	32635	43085
431	32710	43007
432	32794	42943
433	32891	42895
434	32987	42845
435	33065	42773
436	33137	42691
437	33200	42599
438	33266	42511
439	33343	42436
440	33436	42383
441	33502	42294
442	33580	42222
443	33645	42132
444	33719	42054
445	33791	41973
446	33862	41892
447	33935	41813
448	34016	41743
449	34102	41680
450	34190	41619
451	34275	41555
452	34351	41479
453	34420	41395
454	34492	41315
455	34561	41231
456	34636	41154
457	34712	41079
458	34784	40999
459	34854	40916
460	34923	40832
461	35000	40757
462	35072	40677
463	35141	40594
464	35213	40514
465	35292	40442
466	35388	40389
467	35472	40323
468	35556	40256
469	35630	40178
470	35700	40096
471	35770	40014
472	35845	39937
473	35916	39856
474	35991	39780
475	36064	39701
476	36131	39615
477	36211	39544
478	36283	39465
479	36354	39383
480	36423	39301
481	36496	39221
482	36584	39159
483	36666	39090
484	36751	39025
485	36827	38948
486	36902	38872
487	36972	38790
488	37046	38713
489	37117	38632
490	37191	38555
491	37267	38479
492	37335	38396
493	37406	38314
494	37481	38238
495	37559	38164
496	37623	38077
497	37694	37997
498	37762	37913
499	37831	37831
500	37921	37770
501	38017	37714
502	38106	37651
503	38167	37561
504	38235	37478
505	38312	37403
506	38395	37335
507	38471	37259
508	38545	37182
509	38615	37100
510	38683	37018
511	38749	36933
512	38815	36847
513	38881	36763
514	38955	36685
515	39035	36614
516	39106	36534
517	39191	36467
518	39279	36403
519	39369	36340
520	39429	36250
521	39501	36171
522	39573	36092
523	39638	36007
524	39705	35923
525	39776	35844
526	39840	35757
527	39904	35672
528	39979	35596
529	40051	35517
530	40130	35444
531	40200	35364
532	40267	35281
533	40332	35196
534	40409	35122
535	40498	35058
536	40582	34990
537	40665	34921
538	40739	34844
539	40814	34767
540	40887	34690
541	40959	34611
542	41033	34534
543	41103	34454
544	41171	34372
545	41241	34292
546	41320	34219
547	41385	34135
548	41451	34052
549	41513	33965
550	41573	33877
551	41642	33797
552	41712	33716
553	41777	33632
554	41843	33549
555	41917	33473
556	41975	33384
557	42032	33294
558	42092	33207
559	42157	33123
560	42221	33039
561	42290	32959
562	42358	32878
563	42425	32796
564	42486	32710
565	42550	32627
566	42618	32546
567	42729	32498
568	42790	32412
569	42851	32326
570	42917	32244
571	43011	32183
572	43098	32117
573	43186	32051
574	43255	31971
575	43319	31887
576	43387	31807
577	43456	31728
578	43518	31642
579	43581	31558
580	43639	31471
581	43700	31386
582	43764	31303
583	43827	31219
584	43905	31146
585	43970	31064
586	44041	30986
587	44136	30925
588	44224	30859
589	44347	30817
590	44455	30765
591	44537	30694
592	44622	30626
593	44704	30555
594	44787	30485
595	44859	30408
596	44930	30329
597	45007	30255
598	45082	30180
599	45166	30111
600	45253	30043
601	45337	29974
602	45424	29906
603	45515	29841
604	45622	29786
605	45739	29738
606	45823	29668
607	45908	29598
608	45990	29527
609	46071	29455
610	46150	29382
611	46235	29312
612	46323	29244
613	46397	29168
614	46468	29089
615	46537	29010
616	46606	28930
617	46677	28852
618	46748	28773
619	46841	28709
620	46935	28645
621	47015	28572
622	47085	28493
623	47160	28417
624	47233	28340
625	47301	28259
626	47373	28182
627	47444	28103
628	47517	28027
629	47588	27948
630	47657	27869
631	47731	27793
632	47807	27717
633	47880	27640
634	47947	27560
635	48014	27479
636	48089	27404
637	48181	27337
638	48286	27278
639	48364	27205
640	48428	27123
641	48484	27036
642	48547	26954
643	48610	26871
644	48673	26789
645	48738	26708
646	48805	26628
647	48878	26551
648	48944	26470
649	49012	26391
650	49082	26313
651	49146	26231
652	49209	26149
653	49273	26068
654	49334	25985
655	49399	25904
656	49470	25827
657	49537	25747
658	49645	25689
659	49719	25612
660	49779	25529
661	49839	25446
662	49900	25364
663	49962	25282
664	50034	25205
665	50106	25128
666	50170	25047
667	50242	24970
668	50313	24893
669	50385	24816
670	50461	24741
671	50530	24663
672	50592	24581
673	50671	24508
674	50742	24431
675	50817	24356
676	50888	24279
677	50953	24198
678	51010	24115
679	51077	24036
680	51145	23958
681	51208	23877
682	51275	23798
683	51345	23721
684	51411	23641
685	51480	23564
686	51541	23482
687	51600	23400
688	51662	23319
689	51723	23238
690	51802	23164
691	51864	23083
692	51950	23014
693	52049	22949
694	52129	22877
695	52198	22799
696	52257	22717
697	52315	22635
698	52377	22554
699	52440	22474
700	52502	22394
701	52566	22314
702	52630	22234
703	52694	22155
704	52762	22078
705	52827	21998
706	52889	21919
707	52953	21839
708	53012	21758
709	53074	21678
710	53139	21599
711	53215	21525
712	53288	21449
713	53362	21374
714	53432	21298
715	53496	21219
716	53561	21140
717	53625	21061
718	53682	20980
719	53744	20900
720	53802	20819
721	53859	20738
722	53921	20658
723	53981	20578
724	54044	20499
725	54107	20420
726	54172	20342
